sessao,perfil,rodada,palpite,resultado,acertos_anunciados,premio_disputado_centavos
QA-SIM-002,Whale,15,"0 13 16","7 1 17",2,5000000
QA-SIM-002,Whale,16,"16 7 2","7 1 17",2,5000000
QA-SIM-002,Whale,17,"19 2 11","7 1 17",2,5000000
QA-SIM-002,Whale,18,"19 2 8","7 1 17",2,5000000
QA-SIM-002,Whale,19,"15 8 2","7 1 17",2,5000000
QA-SIM-002,Whale,20,"9 0 0","7 1 17",2,5000000
QA-SIM-002,Whale,21,"14 4 1","7 1 17",2,5000000
QA-SIM-002,Whale,22,"3 2 0","7 1 17",2,5000000
QA-SIM-002,Whale,23,"14 4 2","7 1 17",2,5000000
QA-SIM-002,Whale,24,"8 5 4","7 1 17",2,5000000
QA-SIM-002,Whale,25,"12 12 7","7 1 17",2,5000000
QA-SIM-002,Whale,26,"0 14 3","7 1 17",2,5000000
QA-SIM-002,Whale,27,"4 0 17","7 1 17",2,5000000
QA-SIM-002,Whale,28,"13 17 7","7 1 17",2,5000000
QA-SIM-002,Whale,29,"15 14 13","7 1 17",2,5000000
QA-SIM-002,Whale,30,"0 18 1","7 1 17",2,5000000
QA-SIM-002,Whale,31,"9 1 4","7 1 17",2,5000000
QA-SIM-002,Whale,32,"19 13 15","7 1 17",2,5000000
QA-SIM-002,Whale,33,"2 8 4","7 1 17",2,5000000
QA-SIM-002,Whale,34,"6 18 2","7 1 17",2,5000000
QA-SIM-002,Whale,35,"8 16 3","7 1 17",2,5000000
QA-SIM-003,Curioso,0,"9 3 12","9 3 12",3,500
QA-SIM-003,Curioso,1,"6 9 6","6 9 19",2,10000
QA-SIM-003,Curioso,2,"12 5 11","6 9 19",2,10000
QA-SIM-003,Curioso,3,"13 18 8","6 9 19",2,10000
QA-SIM-003,Curioso,4,"7 0 18","6 9 19",2,10000
QA-SIM-003,Curioso,5,"6 5 18","6 9 19",2,10000
QA-SIM-003,Curioso,6,"13 2 1","6 9 19",2,10000
QA-SIM-003,Curioso,7,"10 19 8","6 9 19",2,10000
QA-SIM-003,Curioso,8,"10 19 15","6 9 19",2,10000
QA-SIM-003,Curioso,9,"3 7 13","6 9 19",2,10000
QA-SIM-003,Curioso,10,"2 8 12","6 9 19",2,10000
QA-SIM-003,Curioso,11,"9 17 9","6 9 19",2,10000
QA-SIM-003,Curioso,12,"11 3 11","6 9 19",2,10000
QA-SIM-003,Curioso,13,"0 7 6","6 9 19",2,10000
QA-SIM-003,Curioso,14,"17 2 19","6 9 19",2,10000
QA-SIM-003,Curioso,15,"13 17 15","6 9 19",2,10000
QA-SIM-003,Curioso,16,"8 10 14","6 9 19",2,10000
QA-SIM-003,Curioso,17,"15 14 3","6 9 19",2,10000
QA-SIM-003,Curioso,18,"11 15 8","6 9 19",2,10000
QA-SIM-003,Curioso,19,"0 0 4","6 9 19",2,10000
QA-SIM-003,Curioso,20,"12 3 8","6 9 19",2,10000
QA-SIM-003,Curioso,21,"0 17 6","6 9 19",2,10000
QA-SIM-003,Curioso,22,"11 17 17","6 9 19",2,10000
QA-SIM-003,Curioso,23,"2 10 11","6 9 19",2,10000
QA-SIM-003,Curioso,24,"2 11 4","6 9 19",2,10000
QA-SIM-003,Curioso,25,"15 3 12","6 9 19",2,10000
QA-SIM-003,Curioso,26,"1 18 6","6 9 19",2,10000
QA-SIM-003,Curioso,27,"6 19 17","6 9 19",2,10000
QA-SIM-003,Curioso,28,"16 18 18","6 9 19",2,10000
QA-SIM-003,Curioso,29,"19 14 18","6 9 19",2,10000
QA-SIM-003,Curioso,30,"2 8 15","6 9 19",2,10000
QA-SIM-003,Curioso,31,"9 3 14","6 9 19",2,10000
QA-SIM-003,Curioso,32,"8 8 14","6 9 19",2,10000
QA-SIM-003,Curioso,33,"2 15 12","6 9 19",2,10000
QA-SIM-003,Curioso,34,"14 0 18","6 9 19",2,10000
QA-SIM-003,Curioso,35,"5 10 15","6 9 19",2,10000
QA-SIM-004,Casual,0,"3 6 8","3 6 8",3,500
QA-SIM-004,Casual,1,"12 5 8","12 17 8",2,10000
QA-SIM-004,Casual,2,"18 7 19","12 17 8",2,10000
QA-SIM-004,Casual,3,"16 2 0","12 17 8",2,10000
QA-SIM-004,Casual,4,"3 2 3","12 17 8",2,10000
QA-SIM-004,Casual,5,"0 2 7","12 17 8",2,10000
QA-SIM-004,Casual,6,"8 9 7","12 17 8",2,10000
QA-SIM-004,Casual,7,"9 8 19","12 17 8",2,10000
QA-SIM-004,Casual,8,"5 0 17","12 17 8",2,10000
QA-SIM-004,Casual,9,"9 0 9","12 17 8",2,10000
QA-SIM-004,Casual,10,"8 3 3","12 17 8",2,10000
QA-SIM-004,Casual,11,"9 19 12","12 17 8",2,10000
QA-SIM-004,Casual,12,"10 16 15","12 17 8",2,10000
QA-SIM-004,Casual,13,"16 18 10","12 17 8",2,10000
QA-SIM-004,Casual,14,"16 9 12","12 17 8",2,10000
QA-SIM-004,Casual,15,"17 18 8","12 17 8",2,10000
QA-SIM-004,Casual,16,"7 14 9","12 17 8",2,10000
QA-SIM-004,Casual,17,"5 11 7","12 17 8",2,10000
QA-SIM-004,Casual,18,"1 16 1","12 17 8",2,10000
QA-SIM-004,Casual,19,"13 8 0","12 17 8",2,10000
QA-SIM-004,Casual,20,"4 11 9","12 17 8",2,10000
QA-SIM-004,Casual,21,"16 12 1","12 17 8",2,10000
QA-SIM-004,Casual,22,"12 2 17","12 17 8",2,10000
QA-SIM-004,Casual,23,"15 12 14","12 17 8",2,10000
QA-SIM-004,Casual,24,"4 3 17","12 17 8",2,10000
QA-SIM-004,Casual,25,"2 1 0","12 17 8",2,10000
QA-SIM-004,Casual,26,"12 13 4","12 17 8",2,10000
QA-SIM-004,Casual,27,"7 6 9","12 17 8",2,10000
QA-SIM-004,Casual,28,"6 15 7","12 17 8",2,10000
QA-SIM-004,Casual,29,"16 15 16","12 17 8",2,10000
QA-SIM-004,Casual,30,"7 18 0","12 17 8",2,10000
QA-SIM-004,Casual,31,"4 11 16","12 17 8",2,10000
QA-SIM-004,Casual,32,"17 8 5","12 17 8",2,10000
QA-SIM-004,Casual,33,"7 19 11","12 17 8",2,10000
QA-SIM-004,Casual,34,"13 13 13","12 17 8",2,10000
QA-SIM-004,Casual,35,"4 14 19","12 17 8",2,10000
QA-SIM-005,Regular,0,"19 19 0","19 19 0",3,60
QA-SIM-005,Regular,1,"10 14 19","10 18 19",2,0
QA-SIM-005,Regular,2,"14 13 7","10 18 19",2,0
QA-SIM-005,Regular,3,"7 13 7","10 18 19",2,0
QA-SIM-005,Regular,4,"18 14 12","10 18 19",2,0
QA-SIM-005,Regular,5,"5 13 13","10 18 19",2,0
QA-SIM-005,Regular,6,"6 19 8","10 18 19",2,0
QA-SIM-005,Regular,7,"4 2 8","10 18 19",2,0
QA-SIM-005,Regular,8,"9 3 14","10 18 19",2,0
QA-SIM-005,Regular,9,"5 7 3","10 18 19",2,0
QA-SIM-005,Regular,10,"17 6 11","10 18 19",2,0
QA-SIM-005,Regular,11,"7 19 18","10 18 19",2,0
QA-SIM-005,Regular,12,"15 13 1","10 18 19",2,0
QA-SIM-005,Regular,13,"18 17 5","10 18 19",2,0
QA-SIM-005,Regular,14,"3 11 13","10 18 19",2,0
QA-SIM-005,Regular,15,"10 15 17","10 18 19",2,0
QA-SIM-005,Regular,16,"2 2 9","10 18 19",2,0
QA-SIM-005,Regular,17,"10 14 10","10 18 19",2,0
QA-SIM-005,Regular,18,"5 13 12","10 18 19",2,0
QA-SIM-005,Regular,19,"14 10 2","10 18 19",2,0
QA-SIM-005,Regular,20,"12 8 1","10 18 19",2,0
QA-SIM-005,Regular,21,"13 5 6","10 18 19",2,0
QA-SIM-005,Regular,22,"19 0 3","10 18 19",2,0
QA-SIM-005,Regular,23,"13 7 13","10 18 19",2,0
QA-SIM-005,Regular,24,"11 19 15","10 18 19",2,0
QA-SIM-005,Regular,25,"0 0 4","10 18 19",2,0
QA-SIM-005,Regular,26,"12 19 7","10 18 19",2,0
QA-SIM-005,Regular,27,"19 9 0","10 18 19",2,0
QA-SIM-005,Regular,28,"6 10 4","10 18 19",2,0
QA-SIM-005,Regular,29,"6 13 16","10 18 19",2,0
QA-SIM-005,Regular,30,"2 3 7","10 18 19",2,0
QA-SIM-005,Regular,31,"11 3 13","10 18 19",2,0
QA-SIM-005,Regular,32,"17 10 7","10 18 19",2,0
QA-SIM-005,Regular,33,"1 9 3","10 18 19",2,0
QA-SIM-005,Regular,34,"13 5 17","10 18 19",2,0
QA-SIM-005,Regular,35,"6 7 10","10 18 19",2,0
QA-SIM-006,Whale,0,"1 10 4","1 10 4",3,60
QA-SIM-006,Whale,1,"18 15 16","18 9 16",2,0
QA-SIM-006,Whale,2,"13 2 15","18 9 16",2,0
QA-SIM-006,Whale,3,"11 2 17","18 9 16",2,0
QA-SIM-006,Whale,4,"2 2 0","18 9 16",2,0
QA-SIM-006,Whale,5,"9 4 13","18 9 16",2,0
QA-SIM-006,Whale,6,"2 1 15","18 9 16",2,0
QA-SIM-006,Whale,7,"6 13 0","18 9 16",2,0
QA-SIM-006,Whale,8,"3 16 3","18 9 16",2,0
QA-SIM-006,Whale,9,"5 8 3","18 9 16",2,0
QA-SIM-006,Whale,10,"6 14 5","18 9 16",2,0
QA-SIM-006,Whale,11,"5 3 14","18 9 16",2,0
QA-SIM-006,Whale,12,"5 5 8","18 9 16",2,0
QA-SIM-006,Whale,13,"10 19 2","18 9 16",2,0
QA-SIM-006,Whale,14,"11 8 10","18 9 16",2,0
QA-SIM-006,Whale,15,"9 2 17","18 9 16",2,0
QA-SIM-006,Whale,16,"8 5 12","18 9 16",2,0
QA-SIM-006,Whale,17,"5 16 9","18 9 16",2,0
QA-SIM-006,Whale,18,"11 0 13","18 9 16",2,0
QA-SIM-006,Whale,19,"19 18 19","18 9 16",2,0
QA-SIM-006,Whale,20,"4 6 6","18 9 16",2,0
QA-SIM-006,Whale,21,"1 18 19","18 9 16",2,0
QA-SIM-006,Whale,22,"19 0 16","18 9 16",2,0
QA-SIM-006,Whale,23,"14 19 15","18 9 16",2,0
QA-SIM-006,Whale,24,"15 2 17","18 9 16",2,0
QA-SIM-006,Whale,25,"17 3 13","18 9 16",2,0
QA-SIM-006,Whale,26,"11 8 5","18 9 16",2,0
QA-SIM-006,Whale,27,"1 8 11","18 9 16",2,0
QA-SIM-006,Whale,28,"14 11 19","18 9 16",2,0
QA-SIM-006,Whale,29,"5 18 2","18 9 16",2,0
QA-SIM-006,Whale,30,"5 6 5","18 9 16",2,0
QA-SIM-006,Whale,31,"12 18 19","18 9 16",2,0
QA-SIM-006,Whale,32,"13 6 8","18 9 16",2,0
QA-SIM-006,Whale,33,"9 14 4","18 9 16",2,0
QA-SIM-006,Whale,34,"5 14 5","18 9 16",2,0
QA-SIM-006,Whale,35,"12 1 18","18 9 16",2,0
QA-SIM-007,Curioso,0,"13 13 1","13 13 1",3,60
QA-SIM-007,Curioso,1,"5 1 16","5 11 16",2,100000
QA-SIM-007,Curioso,2,"17 0 10","5 11 16",2,100000
QA-SIM-007,Curioso,3,"11 13 17","5 11 16",2,100000
QA-SIM-007,Curioso,4,"5 19 13","5 11 16",2,100000
QA-SIM-007,Curioso,5,"9 4 19","5 11 16",2,100000
QA-SIM-007,Curioso,6,"0 4 14","5 11 16",2,100000
QA-SIM-007,Curioso,7,"16 7 9","5 11 16",2,100000
QA-SIM-007,Curioso,8,"14 17 19","5 11 16",2,100000
QA-SIM-007,Curioso,9,"8 1 15","5 11 16",2,100000
QA-SIM-007,Curioso,10,"15 6 15","5 11 16",2,100000
QA-SIM-007,Curioso,11,"13 7 7","5 11 16",2,100000
QA-SIM-007,Curioso,12,"0 17 13","5 11 16",2,100000
QA-SIM-007,Curioso,13,"18 9 18","5 11 16",2,100000
QA-SIM-007,Curioso,14,"15 19 19","5 11 16",2,100000
QA-SIM-007,Curioso,15,"9 3 19","5 11 16",2,100000
QA-SIM-007,Curioso,16,"15 19 12","5 11 16",2,100000
QA-SIM-007,Curioso,17,"9 2 17","5 11 16",2,100000
QA-SIM-007,Curioso,18,"13 2 8","5 11 16",2,100000
QA-SIM-007,Curioso,19,"7 10 0","5 11 16",2,100000
QA-SIM-007,Curioso,20,"2 19 19","5 11 16",2,100000
QA-SIM-007,Curioso,21,"16 15 14","5 11 16",2,100000
QA-SIM-007,Curioso,22,"9 11 5","5 11 16",2,100000
QA-SIM-007,Curioso,23,"2 1 13","5 11 16",2,100000
QA-SIM-007,Curioso,24,"15 2 13","5 11 16",2,100000
QA-SIM-007,Curioso,25,"7 8 18","5 11 16",2,100000
QA-SIM-007,Curioso,26,"7 1 19","5 11 16",2,100000
QA-SIM-007,Curioso,27,"17 19 19","5 11 16",2,100000
QA-SIM-007,Curioso,28,"9 18 5","5 11 16",2,100000
QA-SIM-007,Curioso,29,"11 12 1","5 11 16",2,100000
QA-SIM-007,Curioso,30,"14 4 4","5 11 16",2,100000
QA-SIM-007,Curioso,31,"17 19 18","5 11 16",2,100000
QA-SIM-007,Curioso,32,"2 18 7","5 11 16",2,100000
QA-SIM-007,Curioso,33,"19 10 9","5 11 16",2,100000
QA-SIM-007,Curioso,34,"16 6 0","5 11 16",2,100000
QA-SIM-007,Curioso,35,"18 11 18","5 11 16",2,100000
QA-SIM-008,Casual,0,"19 7 13","19 7 13",3,60
QA-SIM-008,Casual,1,"4 16 8","4 15 8",2,0
QA-SIM-008,Casual,2,"12 5 9","4 15 8",2,0
QA-SIM-008,Casual,3,"15 17 14","4 15 8",2,0
QA-SIM-008,Casual,4,"11 15 2","4 15 8",2,0
QA-SIM-008,Casual,5,"11 15 11","4 15 8",2,0
QA-SIM-008,Casual,6,"12 18 16","4 15 8",2,0
QA-SIM-008,Casual,7,"11 8 7","4 15 8",2,0
QA-SIM-008,Casual,8,"13 16 8","4 15 8",2,0
QA-SIM-008,Casual,9,"0 17 1","4 15 8",2,0
QA-SIM-008,Casual,10,"2 19 8","4 15 8",2,0
QA-SIM-008,Casual,11,"1 8 18","4 15 8",2,0
QA-SIM-008,Casual,12,"0 0 2","4 15 8",2,0
QA-SIM-008,Casual,13,"19 14 1","4 15 8",2,0
QA-SIM-008,Casual,14,"0 14 10","4 15 8",2,0
QA-SIM-008,Casual,15,"4 2 9","4 15 8",2,0
QA-SIM-008,Casual,16,"15 3 0","4 15 8",2,0
QA-SIM-008,Casual,17,"12 16 0","4 15 8",2,0
QA-SIM-008,Casual,18,"4 16 9","4 15 8",2,0
QA-SIM-008,Casual,19,"19 16 4","4 15 8",2,0
QA-SIM-008,Casual,20,"0 15 14","4 15 8",2,0
QA-SIM-008,Casual,21,"15 6 15","4 15 8",2,0
QA-SIM-008,Casual,22,"7 3 12","4 15 8",2,0
QA-SIM-008,Casual,23,"3 8 14","4 15 8",2,0
QA-SIM-008,Casual,24,"1 17 15","4 15 8",2,0
QA-SIM-008,Casual,25,"5 16 7","4 15 8",2,0
QA-SIM-008,Casual,26,"3 13 13","4 15 8",2,0
QA-SIM-008,Casual,27,"15 6 7","4 15 8",2,0
QA-SIM-008,Casual,28,"16 4 16","4 15 8",2,0
QA-SIM-008,Casual,29,"15 4 2","4 15 8",2,0
QA-SIM-008,Casual,30,"13 11 12","4 15 8",2,0
QA-SIM-008,Casual,31,"1 3 16","4 15 8",2,0
QA-SIM-008,Casual,32,"11 19 10","4 15 8",2,0
QA-SIM-008,Casual,33,"13 3 13","4 15 8",2,0
QA-SIM-008,Casual,34,"17 19 14","4 15 8",2,0
QA-SIM-008,Casual,35,"1 13 11","4 15 8",2,0
QA-SIM-009,Regular,0,"11 17 1","11 17 1",3,500
QA-SIM-009,Regular,1,"12 13 14","3 13 14",2,5000
QA-SIM-009,Regular,2,"13 7 14","3 13 14",2,5000
QA-SIM-009,Regular,3,"14 11 4","3 13 14",2,5000
QA-SIM-009,Regular,4,"2 13 10","3 13 14",2,5000
QA-SIM-009,Regular,5,"8 2 12","3 13 14",2,5000
QA-SIM-009,Regular,6,"18 18 0","3 13 14",2,5000
QA-SIM-009,Regular,7,"2 19 10","3 13 14",2,5000
QA-SIM-009,Regular,8,"7 8 2","3 13 14",2,5000
QA-SIM-009,Regular,9,"9 19 3","3 13 14",2,5000
QA-SIM-009,Regular,10,"7 15 8","3 13 14",2,5000
QA-SIM-009,Regular,11,"8 9 1","3 13 14",2,5000
QA-SIM-009,Regular,12,"17 16 2","3 13 14",2,5000
QA-SIM-009,Regular,13,"19 15 11","3 13 14",2,5000
QA-SIM-009,Regular,14,"10 19 5","3 13 14",2,5000
QA-SIM-009,Regular,15,"5 13 12","3 13 14",2,5000
QA-SIM-009,Regular,16,"12 8 9","3 13 14",2,5000
QA-SIM-009,Regular,17,"10 18 2","3 13 14",2,5000
QA-SIM-009,Regular,18,"1 9 4","3 13 14",2,5000
QA-SIM-009,Regular,19,"17 15 1","3 13 14",2,5000
QA-SIM-009,Regular,20,"2 12 19","3 13 14",2,5000
QA-SIM-009,Regular,21,"11 13 8","3 13 14",2,5000
QA-SIM-009,Regular,22,"12 6 15","3 13 14",2,5000
QA-SIM-009,Regular,23,"4 3 10","3 13 14",2,5000
QA-SIM-009,Regular,24,"7 19 5","3 13 14",2,5000
QA-SIM-009,Regular,25,"3 5 2","3 13 14",2,5000
QA-SIM-009,Regular,26,"5 5 4","3 13 14",2,5000
QA-SIM-009,Regular,27,"9 8 5","3 13 14",2,5000
QA-SIM-009,Regular,28,"17 18 14","3 13 14",2,5000
QA-SIM-009,Regular,29,"18 8 3","3 13 14",2,5000
QA-SIM-009,Regular,30,"14 10 14","3 13 14",2,5000
QA-SIM-009,Regular,31,"10 17 11","3 13 14",2,5000
QA-SIM-009,Regular,32,"15 5 8","3 13 14",2,5000
QA-SIM-009,Regular,33,"11 11 12","3 13 14",2,5000
QA-SIM-009,Regular,34,"4 18 5","3 13 14",2,5000
QA-SIM-009,Regular,35,"11 8 9","3 13 14",2,5000
QA-SIM-010,Whale,0,"9 19 0","9 19 0",3,500
QA-SIM-010,Whale,1,"12 10 10","12 5 10",2,500000
QA-SIM-010,Whale,2,"7 16 8","12 5 10",2,500000
QA-SIM-010,Whale,3,"8 3 2","12 5 10",2,500000
QA-SIM-010,Whale,4,"13 0 6","12 5 10",2,500000
QA-SIM-010,Whale,5,"18 5 9","12 5 10",2,500000
QA-SIM-010,Whale,6,"16 16 14","12 5 10",2,500000
QA-SIM-010,Whale,7,"17 3 16","12 5 10",2,500000
QA-SIM-010,Whale,8,"17 7 2","12 5 10",2,500000
QA-SIM-010,Whale,9,"11 3 14","12 5 10",2,500000
QA-SIM-010,Whale,10,"8 19 12","12 5 10",2,500000
QA-SIM-010,Whale,11,"12 0 7","12 5 10",2,500000
QA-SIM-010,Whale,12,"19 12 16","12 5 10",2,500000
QA-SIM-010,Whale,13,"6 9 16","12 5 10",2,500000
QA-SIM-010,Whale,14,"1 1 4","12 5 10",2,500000
QA-SIM-010,Whale,15,"13 18 6","12 5 10",2,500000
QA-SIM-010,Whale,16,"14 17 4","12 5 10",2,500000
QA-SIM-010,Whale,17,"14 4 16","12 5 10",2,500000
QA-SIM-010,Whale,18,"6 3 9","12 5 10",2,500000
QA-SIM-010,Whale,19,"17 3 1","12 5 10",2,500000
QA-SIM-010,Whale,20,"10 4 15","12 5 10",2,500000
QA-SIM-010,Whale,21,"19 16 4","12 5 10",2,500000
QA-SIM-010,Whale,22,"3 18 16","12 5 10",2,500000
QA-SIM-010,Whale,23,"14 19 5","12 5 10",2,500000
QA-SIM-010,Whale,24,"7 17 14","12 5 10",2,500000
QA-SIM-010,Whale,25,"1 8 8","12 5 10",2,500000
QA-SIM-010,Whale,26,"9 6 18","12 5 10",2,500000
QA-SIM-010,Whale,27,"16 10 1","12 5 10",2,500000
QA-SIM-010,Whale,28,"11 12 2","12 5 10",2,500000
QA-SIM-010,Whale,29,"5 19 7","12 5 10",2,500000
QA-SIM-010,Whale,30,"14 5 4","12 5 10",2,500000
QA-SIM-010,Whale,31,"8 17 19","12 5 10",2,500000
QA-SIM-010,Whale,32,"8 12 15","12 5 10",2,500000
QA-SIM-010,Whale,33,"12 5 2","12 5 10",2,500000
QA-SIM-010,Whale,34,"11 11 0","12 5 10",2,500000
QA-SIM-010,Whale,35,"17 17 19","12 5 10",2,500000
QA-SIM-011,Curioso,0,"9 14 16","9 14 16",3,500
QA-SIM-011,Curioso,1,"12 14 3","12 14 19",2,0
QA-SIM-011,Curioso,2,"2 3 19","12 14 19",2,0
QA-SIM-011,Curioso,3,"7 5 3","12 14 19",2,0
QA-SIM-011,Curioso,4,"7 11 14","12 14 19",2,0
QA-SIM-011,Curioso,5,"15 14 16","12 14 19",2,0
QA-SIM-011,Curioso,6,"0 6 2","12 14 19",2,0
QA-SIM-011,Curioso,7,"15 15 18","12 14 19",2,0
QA-SIM-011,Curioso,8,"0 10 19","12 14 19",2,0
QA-SIM-011,Curioso,9,"11 8 11","12 14 19",2,0
QA-SIM-011,Curioso,10,"12 18 7","12 14 19",2,0
QA-SIM-011,Curioso,11,"12 11 8","12 14 19",2,0
QA-SIM-011,Curioso,12,"6 12 13","12 14 19",2,0
QA-SIM-011,Curioso,13,"17 0 15","12 14 19",2,0
QA-SIM-011,Curioso,14,"16 15 4","12 14 19",2,0
QA-SIM-011,Curioso,15,"12 0 7","12 14 19",2,0
QA-SIM-011,Curioso,16,"5 1 5","12 14 19",2,0
QA-SIM-011,Curioso,17,"3 2 17","12 14 19",2,0
QA-SIM-011,Curioso,18,"19 13 1","12 14 19",2,0
QA-SIM-011,Curioso,19,"14 8 7","12 14 19",2,0
QA-SIM-011,Curioso,20,"6 14 19","12 14 19",2,0
QA-SIM-011,Curioso,21,"18 8 2","12 14 19",2,0
QA-SIM-011,Curioso,22,"18 1 0","12 14 19",2,0
QA-SIM-011,Curioso,23,"10 18 13","12 14 19",2,0
QA-SIM-011,Curioso,24,"1 17 0","12 14 19",2,0
QA-SIM-011,Curioso,25,"2 0 5","12 14 19",2,0
QA-SIM-011,Curioso,26,"4 3 2","12 14 19",2,0
QA-SIM-011,Curioso,27,"16 7 10","12 14 19",2,0
QA-SIM-011,Curioso,28,"14 17 8","12 14 19",2,0
QA-SIM-011,Curioso,29,"6 16 8","12 14 19",2,0
QA-SIM-011,Curioso,30,"7 2 5","12 14 19",2,0
QA-SIM-011,Curioso,31,"18 1 3","12 14 19",2,0
QA-SIM-011,Curioso,32,"10 19 0","12 14 19",2,0
QA-SIM-011,Curioso,33,"2 0 1","12 14 19",2,0
QA-SIM-011,Curioso,34,"9 6 2","12 14 19",2,0
QA-SIM-011,Curioso,35,"14 15 6","12 14 19",2,0
QA-SIM-012,Casual,0,"14 17 5","14 17 5",3,500
QA-SIM-012,Casual,1,"9 4 12","9 4 12",3,60
QA-SIM-012,Casual,2,"5 19 17","1 19 17",2,10000
QA-SIM-012,Casual,3,"7 10 8","1 19 17",2,10000
QA-SIM-012,Casual,4,"13 17 11","1 19 17",2,10000
QA-SIM-012,Casual,5,"0 8 14","1 19 17",2,10000
QA-SIM-012,Casual,6,"6 18 3","1 19 17",2,10000
QA-SIM-012,Casual,7,"7 9 15","1 19 17",2,10000
QA-SIM-012,Casual,8,"8 11 5","1 19 17",2,10000
QA-SIM-012,Casual,9,"19 8 15","1 19 17",2,10000
QA-SIM-012,Casual,10,"11 11 15","1 19 17",2,10000
QA-SIM-012,Casual,11,"14 1 9","1 19 17",2,10000
QA-SIM-012,Casual,12,"17 8 17","1 19 17",2,10000
QA-SIM-012,Casual,13,"7 15 3","1 19 17",2,10000
QA-SIM-012,Casual,14,"18 6 14","1 19 17",2,10000
QA-SIM-012,Casual,15,"0 19 7","1 19 17",2,10000
QA-SIM-012,Casual,16,"8 13 8","1 19 17",2,10000
QA-SIM-012,Casual,17,"8 6 15","1 19 17",2,10000
QA-SIM-012,Casual,18,"5 10 15","1 19 17",2,10000
QA-SIM-012,Casual,19,"12 17 2","1 19 17",2,10000
QA-SIM-012,Casual,20,"10 18 7","1 19 17",2,10000
QA-SIM-012,Casual,21,"2 5 12","1 19 17",2,10000
QA-SIM-012,Casual,22,"15 0 12","1 19 17",2,10000
QA-SIM-012,Casual,23,"18 16 13","1 19 17",2,10000
QA-SIM-012,Casual,24,"0 8 7","1 19 17",2,10000
QA-SIM-012,Casual,25,"0 4 0","1 19 17",2,10000
